Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
2,2,chercher,search
3,3,seulement,only
4,4,police,police
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,33,étaient,were
32,34,attention,Warning
33,35,voici,here is
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,42,train,train
41,43,corps,body
42,44,endroit,place
43,45,yeux,eyes
44,46,façon,way
45,47,écoute,listen
46,48,dont,whose
47,49,trouve,find
48,50,premier,first
49,51,perdu,lost
50,52,main,hand
51,53,première,first
52,54,côté,side
53,55,pouvoir,power
54,56,vieux,old
55,57,sois,be
56,58,tiens,here
57,59,matin,morning
58,60,tellement,so much
59,61,enfant,child
60,62,point,point
61,63,venu,came
62,64,suite,after
63,65,pardon,sorry
64,66,venez,come
65,67,devant,in front of
66,68,vers,towards
68,70,demandé,request
69,71,chambre,bedroom
70,72,mis,placed
71,73,belle,beautiful
72,74,droit,law
73,75,aimerais,would like to
74,76,aujourd'hui,today
75,77,mari,husband
76,78,cause,cause
77,79,enfin,finally
78,80,espère,hope
79,82,attendez,Wait
80,83,nouvelle,new
81,84,boulot,job
82,86,dirait,would say
83,87,terre,Earth
84,88,donne,given
85,89,loin,far
86,90,fin,end
87,91,croire,believe
88,93,gros,large
89,94,plutôt,rather
90,95,aura,will have
91,96,filles,girls
92,97,jouer,to play
93,98,bureau,office
